"ZipCode","PlaceName","State","County","Lat","Long"
"41012","Covington","KY","Kenton","38.944699999999997","-84.520499999999998"
"40013","Coxs Creek","KY","Nelson","37.912500000000001","-85.465800000000002"
"40419","Crab Orchard","KY","Lincoln","37.4465","-84.493899999999996"
"40820","Cranks","KY","Harlan","36.755800000000001","-83.183800000000005"
"42033","Crayne","KY","Crittenden","37.270600000000002","-88.082499999999996"
"40014","Crestwood","KY","Oldham","38.332599999999999","-85.460999999999999"
"41030","Crittenden","KY","Grant","38.774099999999997","-84.598200000000006"
"41413","Crockett","KY","Morgan","37.985599999999998","-83.090699999999998"
"42217","Crofton","KY","Christian","37.034399999999998","-87.489099999999993"
"41810","Cromona","KY","Letcher","37.186500000000002","-82.697100000000006"
"42333","Cromwell","KY","Ohio","37.341799999999999","-86.769999999999996"
"42729","Cub Run","KY","Hart","37.314900000000002","-86.081299999999999"
"40823","Cumberland","KY","Harlan","36.9711","-82.977099999999993"
"42035","Cunningham","KY","Carlisle","36.896299999999997","-88.872799999999998"
"42334","Curdsville","KY","Daviess","37.734999999999999","-87.331699999999998"
"40115","Custer","KY","Breckinridge","37.735799999999998","-86.237799999999993"
"41031","Cynthiana","KY","Harrison","38.3964","-84.294899999999998"
"41615","Dana","KY","Floyd","37.546700000000001","-82.670500000000004"
"40423","Danville","KY","Boyle","37.645600000000002","-84.772199999999998"
"40422","Danville","KY","Boyle","37.646500000000003","-84.774699999999996"
"41616","David","KY","Floyd","37.576700000000002","-82.870800000000003"
"42408","Dawson Springs","KY","Hopkins","37.196399999999997","-87.682100000000005"
"40824","Dayhoit","KY","Harlan","36.835599999999999","-83.375299999999996"
"41074","Dayton","KY","Campbell","39.111400000000003","-84.471199999999996"
"41033","De Mossville","KY","Pendleton","38.762300000000003","-84.485900000000001"
"41812","Deane","KY","Letcher","37.240900000000003","-82.769599999999997"
"41214","Debord","KY","Martin","37.8001","-82.559399999999997"
"41735","Delphia","KY","Perry","37.023299999999999","-83.095600000000005"
"41859","Dema","KY","Knott","37.397599999999997","-82.783600000000007"
"40316","Denniston","KY","Menifee","37.915900000000001","-83.537999999999997"
"41132","Denton","KY","Carter","38.259700000000002","-82.856200000000001"
"40930","Dewitt","KY","Knox","36.877000000000002","-83.737700000000004"
"42036","Dexter","KY","Calloway","36.715499999999999","-88.236000000000004"
"41736","Dice","KY","Perry","37.375799999999998","-83.241900000000001"
"42409","Dixon","KY","Webster","37.510599999999997","-87.701899999999995"
"41520","Dorton","KY","Pike","37.279000000000003","-82.577299999999994"
"41034","Dover","KY","Mason","38.691000000000003","-83.871799999999993"
"42128","Drake","KY","Warren","36.983400000000003","-86.394000000000005"
"42337","Drakesboro","KY","Muhlenberg","37.2136","-87.048000000000002"
"41619","Drift","KY","Floyd","37.493299999999998","-82.757499999999993"
"41035","Dry Ridge","KY","Grant","38.704900000000002","-84.623699999999999"
"42219","Dunbar","KY","Butler","37.170900000000003","-86.767799999999994"
"42338","Dundee","KY","Ohio","37.552","-86.777600000000007"
"42339","Dunmor","KY","Muhlenberg","37.084000000000003","-87.007900000000006"
"42528","Dunnville","KY","Casey","37.190600000000003","-84.983500000000006"
"41621","Dwale","KY","Floyd","37.624600000000001","-82.722700000000003"
"41739","Dwarf","KY","Perry","37.339399999999998","-83.130300000000005"
"42037","Dycusburg","KY","Crittenden","37.159500000000001","-88.1845"
"42410","Earlington","KY","Hopkins","37.2742","-87.511899999999997"
"40729","East Bernstadt","KY","Laurel","37.248800000000003","-84.138000000000005"
"41216","East Point","KY","Johnson","37.757899999999999","-82.818200000000004"
"41622","Eastern","KY","Floyd","37.517000000000003","-82.805999999999997"
"42732","Eastview","KY","Hardin","37.606099999999998","-86.090599999999995"
"40018","Eastwood","KY","Jefferson","38.2331","-85.455799999999996"
"42038","Eddyville","KY","Lyon","37.066400000000002","-88.049400000000006"
"42129","Edmonton","KY","Metcalfe","37.000799999999998","-85.609499999999997"
"42130","Eighty Eight","KY","Barren","36.912999999999997","-85.775300000000001"
"40117","Ekron","KY","Meade","37.911299999999997","-86.154200000000003"
"42702","Elizabethtown","KY","Hardin","37.694000000000003","-85.859099999999998"
"42701","Elizabethtown","KY","Hardin","37.684800000000003","-85.878399999999999"
"41037","Elizaville","KY","Fleming","38.419499999999999","-83.825500000000005"
"42733","Elk Horn","KY","Taylor","37.339300000000001","-85.191800000000001"
"41421","Elkfork","KY","Morgan","37.970799999999997","-83.119299999999996"
"41522","Elkhorn City","KY","Pike","37.310899999999997","-82.409099999999995"
"42220","Elkton","KY","Todd","36.909399999999998","-87.1678"
"40317","Elliottville","KY","Rowan","38.176499999999997","-83.268199999999993"
"41135","Emerson","KY","Lewis","38.356299999999997","-83.287700000000001"
"40019","Eminence","KY","Henry","38.369599999999998","-85.178200000000004"
"40730","Emlyn","KY","Whitley","36.703899999999997","-84.141499999999994"
"41740","Emmalena","KY","Knott","37.349899999999998","-83.0471"
"40826","Eolia","KY","Letcher","37.061799999999998","-82.770600000000002"
"41018","Erlanger","KY","Kenton","39.008200000000002","-84.597700000000003"
"41815","Ermine","KY","Letcher","37.161499999999997","-82.797399999999996"
"40827","Essie","KY","Leslie","37.054699999999997","-83.456100000000006"
"42131","Etoile","KY","Barren","36.813400000000001","-85.917299999999997"
"42567","Eubank","KY","Pulaski","37.264200000000002","-84.6066"
"40828","Evarts","KY","Harlan","36.839799999999997","-83.223299999999995"
"41039","Ewing","KY","Fleming","38.415700000000001","-83.8733"
"41425","Ezel","KY","Morgan","37.891199999999998","-83.444400000000002"
"40118","Fairdale","KY","Jefferson","38.108699999999999","-85.754900000000006"
"40020","Fairfield","KY","Nelson","37.933999999999997","-85.386200000000002"
"42221","Fairview","KY","Christian","36.843400000000003","-87.303899999999999"
"41426","Falcon","KY","Magoffin","37.784300000000002","-83.010900000000007"
"40932","Fall Rock","KY","Clay","37.219799999999999","-83.788300000000007"
"40119","Falls Of Rough","KY","Grayson","37.552199999999999","-86.483599999999996"
"41040","Falmouth","KY","Pendleton","38.664299999999997","-84.345100000000002"
"42039","Fancy Farm","KY","Graves","36.776699999999998","-88.791799999999995"
"40319","Farmers","KY","Rowan","38.140300000000003","-83.533699999999996"
"42040","Farmington","KY","Graves","36.600000000000001","-88.518600000000006"
"41524","Fedscreek","KY","Pike","37.426600000000001","-82.256200000000007"
"42533","Ferguson","KY","Pulaski","37.067700000000002","-84.592699999999994"
"40022","Finchville","KY","Shelby","38.156100000000002","-85.3476"
"40023","Fisherville","KY","Jefferson","38.165199999999999","-85.428200000000004"
"41743","Fisty","KY","Knott","37.306399999999996","-83.090400000000002"
"40935","Flat Lick","KY","Knox","36.829000000000001","-83.770200000000003"
